Codigo,PaisCodigo,DescripcionES,DescripcionEN,DescripcionFR
BJ-16,BJ,OUÉMÉ,OUÉMÉ DEPARTMENT,OUÉMÉ
BJ-17,BJ,PLATEAU,PLATEAU,PLATEAU
BJ-18,BJ,ZOU,ZOU DEPARTMENT,ZOU
BO-01,BO,DEPARTAMENTO DE CHUQUISACA,CHUQUISACA DEPARTMENT,CHUQUISACA
BO-02,BO,DEPARTAMENTO DE COCHABAMBA,COCHABAMBA,COCHABAMBA
BO-03,BO,DEPARTAMENTO DEL BENI,BENI DEPARTMENT,BENI
BO-04,BO,DEPARTAMENTO DE LA PAZ,LA PAZ DEPARTMENT,LA PAZ
BO-05,BO,DEPARTAMENTO DE ORURO,ORURO,ORURO
BO-06,BO,DEPARTAMENTO DE PANDO,PANDO,PANDO
BO-07,BO,DEPARTAMENTO DE POTOSÍ,POTOSÍ DEPARTMENT,POTOSÍ
BO-08,BO,DEPARTAMENTO DE SANTA CRUZ,SANTA CRUZ DEPARTMENT,SANTA CRUZ
BO-09,BO,DEPARTAMENTO DE TARIJA,TARIJA DEPARTMENT,TARIJA
BR-01,BR,ESTADO DE ACRE,ACRE,ACRE
BR-02,BR,ESTADO DE ALAGOAS,ALAGOAS,ALAGOAS
BR-03,BR,ESTADO DE AMAPÁ,AMAPÁ,AMAPÁ
BR-04,BR,ESTADO DE AMAZONAS,AMAZONAS,AMAZONAS
BR-05,BR,BAHÍA,ESTADO DE BAHIA,BAHIA
BR-06,BR,ESTADO DE CEARÁ,CEARÁ,CEARÁ
BR-07,BR,DISTRITO FEDERAL,FEDERAL DISTRICT,DISTRICT FÉDÉRAL
BR-08,BR,ESTADO DE ESPÍRITO SANTO,ESPÍRITO SANTO,ESPÍRITO SANTO
BR-11,BR,MATO GROSSO DEL SUR,MATO GROSSO DO SUL,MATO GROSSO DO SUL
BR-13,BR,ESTADO DE MARANHÃO,MARANHÃO,MARANHÃO
BR-14,BR,ESTADO DE MATO GROSSO,MATO GROSSO,MATO GROSSO
BR-15,BR,ESTADO DE MINAS GERAIS,MINAS GERAIS,MINAS GERAIS
BR-16,BR,ESTADO DE PARÁ,PARÁ,PARÁ
BR-17,BR,ESTADO DE PARAÍBA,PARAÍBA,PARAÍBA
BR-18,BR,ESTADO DE PARANÁ,PARANÁ,PARANÁ
BR-20,BR,ESTADO DE PIAUÍ,PIAUÍ,PIAUÍ
BR-21,BR,ESTADO DE RÍO DE JANEIRO,STATE OF RIO DE JANEIRO,RIO DE JANEIRO
BR-22,BR,ESTADO DE RÍO GRANDE DEL NORTE,RIO GRANDE DO NORTE,RIO GRANDE DO NORTE
BR-23,BR,ESTADO DE RÍO GRANDE DEL SUR,RIO GRANDE DO SUL,RIO GRANDE DO SUL
BR-24,BR,ESTADO DE RONDONIA,RONDÔNIA,RONDÔNIA
BR-25,BR,ESTADO DE RORAIMA,RORAIMA,RORAIMA
BR-26,BR,ESTADO DE SANTA CATARINA,SANTA CATARINA,SANTA CATARINA
BR-27,BR,ESTADO DE SÃO PAULO,SÃO PAULO,SÃO PAULO
BR-28,BR,ESTADO DE SERGIPE,SERGIPE,SERGIPE
BR-29,BR,ESTADO DE GOIÁS,GOIÁS,GOIÁS
BR-30,BR,ESTADO DE PERNAMBUCO,PERNAMBUCO,PERNAMBOUC
BR-31,BR,ESTADO DE TOCANTINS,TOCANTINS,TOCANTINS
BS-05,BS,BIMINI,BIMINI DISTRICT,ÎLES BIMINI
BS-06,BS,ISLA CAT,CAT ISLAND,CAT ISLAND
BS-10,BS,EXUMA,EXUMA,ÎLES EXUMAS
BS-13,BS,INAGUA,INAGUA,INAGUA
BS-15,BS,LONG ISLAND,LONG ISLAND,LONG ISLAND
BS-16,BS,MAYAGUANA,MAYAGUANA,MAYAGUANA
BS-18,BS,ISLA RAGGED,RAGGED ISLAND,RAGGED ISLAND
BS-22,BS,ISLA HARBOUR,HARBOUR ISLAND,HARBOUR ISLAND
BS-23,BS,NEW PROVIDENCE,NEW PROVIDENCE,NEW PROVIDENCE
BS-24,BS,ACKLINS,ACKLINS,ACKLINS
BS-25,BS,FREEPORT,FREEPORT,FREEPORT
BS-32,BS,ISLAS BERRY,BERRY ISLANDS,ÎLES BERRY
BS-35,BS,SAN SALVADOR,SAN SALVADOR,SAN SALVADOR
BS-36,BS,BLACK POINT,BLACK POINT,BLACK POINT
BS-37,BS,ÁBACO CENTRAL,CENTRAL ABACO,CENTRAL ABACO
BS-38,BS,CENTRAL ANDROS,CENTRAL ANDROS,CENTRAL ANDROS
BS-39,BS,CENTRAL ELEUTHERA,CENTRAL ELEUTHERA,CENTRAL ELEUTHERA
BS-40,BS,CROOKED ISLAND AND LONG CAY,CROOKED ISLAND AND LONG CAY,CROOKED ISLAND AND LONG CAY
BS-41,BS,EAST GRAND BAHAMA,EAST GRAND BAHAMA,EAST GRAND BAHAMA
BS-42,BS,GRAND CAY,GRAND CAY,GRAND CAY
BS-43,BS,HOPE TOWN,HOPE TOWN,HOPE TOWN
BS-44,BS,CAYO MANGROVE,MANGROVE CAY DISTRICT,MANGROVE CAY
BS-45,BS,MOORE’S ISLAND,MOORE’S ISLAND,MOORE’S ISLAND
BS-46,BS,ÁBACO NORTE,NORTH ABACO,NORTH ABACO
BS-47,BS,ANDROS NORTE,NORTH ANDROS,NORTH ANDROS
BS-48,BS,ELEUTHERA NORTE,NORTH ELEUTHERA,NORTH ELEUTHERA
BS-49,BS,RUM CAY,RUM CAY,RUM CAY
BS-50,BS,ABACO SUL,SOUTH ABACO,SOUTH ABACO
BS-51,BS,ANDROS SUR,SOUTH ANDROS,SOUTH ANDROS
BS-52,BS,ELEUTHERA SUR,SOUTH ELEUTHERA,SOUTH ELEUTHERA
BS-53,BS,SPANISH WELLS,SPANISH WELLS,SPANISH WELLS
BS-54,BS,WEST GRAND BAHAMA,WEST GRAND BAHAMA,WEST GRAND BAHAMA
BW-01,BW,DISTRITO CENTRAL,CENTRAL DISTRICT,DISTRICT CENTRAL
BW-03,BW,DISTRITO GHANZI,GHANZI DISTRICT,GHANZI
BW-04,BW,DISTRITO KGALAGADI,KGALAGADI DISTRICT,KGALAGADI
BW-05,BW,DISTRITO KGATLENG,KGATLENG,KGATLENG
BW-06,BW,DISTRITO KWENENG,KWENENG DISTRICT,KWENENG
BW-08,BW,NORTH-EAST,NORTH-EAST DISTRICT,NORTH-EAST
BW-09,BW,SOUTH-EAST,SOUTH-EAST,SUD-EST
BW-10,BW,DISTRITO SUR,NGWAKETSI,DISTRICT DU SUD
BW-11,BW,DISTRITO NOROESTE,NORTH-WEST DISTRICT,DISTRICT DU NORD-OUEST
BW-12,BW,CHOBE,CHOBE,CHOBE
BW-13,BW,CITY OF FRANCISTOWN,CITY OF FRANCISTOWN,CITY OF FRANCISTOWN
BW-14,BW,GABORONE,GABORONE,GABORONE
BW-15,BW,JWANENG,JWANENG,JWANENG
BW-16,BW,LOBATSE,LOBATSE,LOBATSE
BW-17,BW,SELIBE PHIKWE,SELIBE PHIKWE,SELIBE PHIKWE
BW-18,BW,SOWA TOWN,SOWA TOWN,SOWA TOWN
BZ-01,BZ,DISTRITO DE BELICE,BELIZE DISTRICT,BELIZE
BZ-02,BZ,DISTRITO DE CAYO,CAYO DISTRICT,CAYO
BZ-03,BZ,DISTRITO DE COROZAL,COROZAL DISTRICT,COROZAL
BZ-04,BZ,DISTRITO DE ORANGE WALK,ORANGE WALK DISTRICT,ORANGE WALK
BZ-05,BZ,DISTRITO DE STANN CREEK,SOUTHERN DISTRICT,STANN CREEK
BZ-06,BZ,DISTRITO DE TOLEDO,TOLEDO DISTRICT,TOLEDO
CA-01,CA,ALBERTA,ALBERTA,ALBERTA
CA-02,CA,COLUMBIA BRITÁNICA,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE
CA-03,CA,MANITOBA,MANITOBA,MANITOBA
CA-04,CA,NUEVO BRUNSWICK,NEW BRUNSWICK,NOUVEAU-BRUNSWICK
CA-05,CA,NEW FOUNDLAND - LABRADOR,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR
CA-07,CA,NUEVA ESCOCIA,NOVA SCOTIA,NOUVELLE-ÉCOSSE
CA-08,CA,ONTARIO,ONTARIO,ONTARIO
CA-09,CA,ISLA DEL PRÍNCIPE EDUARDO,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD
CA-10,CA,QUEBEC,QUEBEC,QUÉBEC
CA-11,CA,SASKATCHEWAN,SASKATCHEWAN,SASKATCHEWAN
CA-12,CA,YUKÓN,YUKON TERRITORY,YUKON
CA-13,CA,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,TERRITOIRES DU NORD-OUEST
CA-14,CA,NUNAVUT,NUNAVUT,NUNAVUT
CD-02,CD,ÉQUATEUR,ÉQUATEUR PROVINCE,ÉQUATEUR
CD-04,CD,KASAI ORIENTAL,EAST KASAI,KASAÏ-ORIENTAL
CD-06,CD,KINSHASA,KINSHASA CITY,KINSHASA
CD-08,CD,BAS-CONGO,BAS-CONGO,BAS-CONGO
CD-10,CD,MANIEMA,MANIEMA PROVINCE,MANIEMA
CD-11,CD,KIVU DEL NORTE,NORTH KIVU,NORD-KIVU
CD-12,CD,KIVU DEL SUR,SOUTH KIVU,SUD-KIVU
CD-13,CD,BAJO UELE,BAS-UELE,BAS-UELE
CD-14,CD,ALTO KATANGA,HAUT-KATANGA PROVINCE,PROVINCE DU HAUT-KATANGA
CD-15,CD,HAUT-LOMAMI,HAUT-LOMAMI,HAUT-LOMAMI
CD-16,CD,ALTO UELE,HAUT-UELE,HAUT-UELE
CD-17,CD,ITURI,ITURI,ITURI
CD-18,CD,KASAI,KASAÏ PROVINCE,KASAI
CD-19,CD,KWANGO,KWANGO,KWANGO
CD-20,CD,KWILU,KWILU,KWILU
CD-21,CD,LOMAMI,LOMAMI,LOMAMI
CD-22,CD,LUALABA,LUALABA,LUALABA
CD-23,CD,LULUA,KASAI-CENTRAL,KASAÏ CENTRAL
CD-24,CD,MAI-NDOMBE,MAI-NDOMBE,MAI-NDOMBE
CD-25,CD,MONGALA,MONGALA,MONGALA
CD-26,CD,NORD-UBANGI,NORD-UBANGI,PROVINCE DU NORD-UBANGI
CD-27,CD,SANKURU,SANKURU,SANKURU
CD-28,CD,SUD-UBANGI,SUD-UBANGI,PROVINCE DU SUD-UBANGI
CD-29,CD,PROVINCIA DE TANGANYIKA,TANGANYIKA,TANGANYIKA
CD-30,CD,TSHOPO,TSHOPO,TSHOPO
CD-31,CD,TSHUAPA,TSHUAPA,TSHUAPA
CF-01,CF,BAMINGUI-BANGORAN,BAMINGUI-BANGORAN,BAMINGUI-BANGORAN
CF-02,CF,BASSE-KOTTO,BASSE-KOTTO PREFECTURE,BASSE-KOTTO
CF-03,CF,HAUTE-KOTTO,HAUTE-KOTTO,HAUTE-KOTTO
CF-04,CF,MAMBÉRÉ-KADÉÏ,MAMBÉRÉ-KADÉÏ,MAMBÉRÉ-KADÉÏ
CF-05,CF,HAUT-MBOMOU,HAUT-MBOMOU PREFECTURE,HAUT-MBOMOU
CF-06,CF,KÉMO,KÉMO,KÉMO
CF-07,CF,LOBAYE,LOBAYE,LOBAYE
CF-08,CF,MBOMOU,MBOMOU,MBOMOU
CF-09,CF,NANA-MAMBÉRÉ,NANA-MAMBÉRÉ,NANA-MAMBÉRÉ
CF-11,CF,OUAKA,OUAKA,OUAKA
CF-12,CF,OUHAM,OUHAM,OUHAM
CF-13,CF,OUHAM-PENDÉ,OUHAM-PENDÉ,OUHAM-PENDÉ
CF-14,CF,VAKAGA,VAKAGA,VAKAGA
CF-15,CF,NANA-GRÉBIZI,NANA-GRÉBIZI,NANA-GRÉBIZI
CF-16,CF,SANGHA-MBAÉRÉ,SANGHA-MBAÉRÉ,SANGHA-MBAÉRÉ
CF-17,CF,OMBELLA-M'POKO,OMBELLA-M'POKO,OMBELLA-M'POKO
CF-18,CF,BANGUI,BANGUI,BANGUI
CF-19,CF,MAMBÉRÉ,MAMBÉRÉ,MAMBÉRÉ
CF-20,CF,OUHAM-FAFA,OUHAM-FAFA,OUHAM-FAFA
CF-21,CF,LIM-PENDÉ,LIM-PENDÉ,LIM-PENDÉ
CG-01,CG,BOUENZA,BOUENZA DEPARTMENT,BOUENZA
CG-04,CG,KOUILOU,KOUILOU,KOUILOU
CG-05,CG,LÉKOUMOU,LÉKOUMOU,LÉKOUMOU
CG-06,CG,LIKOUALA,LIKOUALA,LIKOUALA
CG-07,CG,NIARI,NIARI,NIARI
CG-08,CG,PLATEAUX,PLATEAUX,PLATEAUX
CG-10,CG,DEPARTAMENTO DE SANGHA,SANGHA,DÉPARTEMENT DE LA SANGHA
CG-11,CG,DEPARTAMENTO DE POOL,POOL,POOL
CG-12,CG,BRAZZAVILLE,BRAZZAVILLE,BRAZZAVILLE
CG-13,CG,DEPARTAMENTO DE CUVETTE,CUVETTE,CUVETTE
CG-14,CG,CUVETTE-OESTE,CUVETTE-OUEST DEPARTMENT,CUVETTE-OUEST
CG-15,CG,POINTE-NOIRE,POINTE-NOIRE,POINTE-NOIRE
CH-AG,CH,ARGOVIA,CANTON OF AARGAU,ARGOVIE
CH-AI,CH,APPENZELL RODAS INTERIORES,APPENZELL INNER RHODES,CANTON D’APPENZELL RHODEN-INTÉRIEUR
CH-AR,CH,APPENZELL RODAS EXTERIORES,APPENZELL OUTER RHODES,CANTON D’APPENZELL RHODEN-EXTÉRIEUR
CH-BE,CH,BERNA,CANTON OF BERN,BERNE
CH-BL,CH,BASILEA-CAMPIÑA,BASEL-LANDSCHAFT,CANTON DE BÂLE-CAMPAGNE
CH-BS,CH,CANTÓN DE BASILEA-CIUDAD,CANTON OF BASEL-CITY,CANTON DE BÂLE-VILLE
CH-FR,CH,FRIBURGO,CANTON OF FRIBOURG,FRIBOURG
CH-GE,CH,GINEBRA,CANTON OF GENEVA,GENÈVE
CH-GL,CH,GLARIS,CANTON OF GLARUS,GLARIS
CH-GR,CH,CANTÓN DE LOS GRISONES,GRISONS,CANTON DES GRISONS
CH-JU,CH,JURA,CANTON OF JURA,JURA
CH-LU,CH,LUCERNA,CANTON OF LUCERNE,LUCERNE
CH-NE,CH,NEUCHÂTEL,CANTON OF NEUCHÂTEL,NEUCHÂTEL
CH-NW,CH,NIDWALDEN,CANTON OF NIDWALDEN,NIDWALD
CH-OW,CH,OBWALDEN,CANTON OF OBWALDEN,OBWALD
CH-SG,CH,SAINT GALLEN,SAINT GALLEN,CANTON DE SAINT-GALL
CH-SH,CH,SCHAFFHAUSEN,CANTON OF SCHAFFHAUSEN,SCHAFFHOUSE
CH-SO,CH,SOLEURA,CANTON OF SOLOTHURN,SOLEURE
CH-SZ,CH,SCHWYZ,CANTON OF SCHWYZ,CANTON DE SCHWYZ
CH-TG,CH,TURGOVIA,THURGAU,CANTON DE THURGOVIE
CH-TI,CH,TESINO,CANTON TICINO,CANTON DU TESSIN
CH-UR,CH,URI,CANTON OF URI,CANTON D’URI
CH-VD,CH,VAUD,VAUD,VAUD
CH-VS,CH,VALAIS,VALAIS,CANTON VALAIS
CH-ZG,CH,ZUG,CANTON OF ZUG,CANTON DE ZOUG
CH-ZH,CH,ZÚRICH,CANTON OF ZURICH,CANTON DE ZURICH
CI-76,CI,DISTRITO DE BAS-SASSANDRA,BAS-SASSANDRA DISTRICT,DISTRICT DU BAS-SASSANDRA
CI-77,CI,DENGUÉLÉ,DENGUÉLÉ DISTRICT,DISTRICT DU DENGUÉLÉ
CI-78,CI,MONTAGNES,MONTAGNES,DISTRICT DES MONTAGNES
CI-81,CI,LACS DISTRICT,LACS DISTRICT,DISTRICT DES LACS
CI-82,CI,LAGUNES DISTRICT,LAGUNES DISTRICT,DISTRICT DES LAGUNES
CI-87,CI,SAVANES,SAVANES DISTRICT,DISTRICT DES SAVANES
CI-90,CI,VALLÉE DU BANDAMA,VALLÉE DU BANDAMA DISTRICT,DISTRICT DE LA VALLÉE DU BANDAMA
CI-92,CI,ZANZAN DISTRICT,ZANZAN DISTRICT,DISTRICT DU ZANZAN
CI-93,CI,ABIDJAN AUTONOMOUS DISTRICT,ABIDJAN AUTONOMOUS DISTRICT,ABIDJAN AUTONOMOUS DISTRICT
CI-94,CI,COMOÉ DISTRICT,COMOÉ DISTRICT,DISTRICT DU COMOÉ
CI-95,CI,GÔH-DJIBOUA,GÔH-DJIBOUA,DISTRICT DU GÔH-DJIBOUA
CI-96,CI,SASSANDRA-MARAHOUÉ,SASSANDRA-MARAHOUÉ,DISTRICT DU SASSANDRA-MARAHOUÉ
CI-97,CI,WOROBA,WOROBA,DISTRICT DU WOROBA
CI-98,CI,YAMOUSSOUKRO,YAMOUSSOUKRO,YAMOUSSOUKRO
CL-01,CL,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO
CL-02,CL,REGIÓN AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,AYSÉN,AYSÉN
CL-03,CL,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA
CL-04,CL,REGIÓN DE LA ARAUCANÍA,ARAUCANÍA,ARAUCANÍA
CL-05,CL,REGIÓN DE ATACAMA,ATACAMA,ATACAMA
CL-06,CL,REGIÓN DEL BIOBÍO,BIOBÍO,BIOBÍO
CL-07,CL,REGIÓN DE COQUIMBO,COQUIMBO REGION,COQUIMBO
CL-08,CL,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,O'HIGGINS REGION,O'HIGGINS
CL-10,CL,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,REGION OF MAGALLANES,REGION OF MAGALLANES
CL-11,CL,REGIÓN DEL MAULE,MAULE REGION,MAULE REGION
CL-12,CL,REGIÓN METROPOLITANA DE SANTIAGO DE CHILE,SANTIAGO,SANTIAGO
CL-14,CL,REGIÓN DE LOS LAGOS,LOS LAGOS REGION,RÉGION DES LACS
CL-15,CL,REGIÓN DE TARAPACÁ,TARAPACÁ,TARAPACÁ
CL-16,CL,REGIÓN DE ARICA Y PARINACOTA,ARICA Y PARINACOTA REGION,ARICA ET PARINACOTA
CL-17,CL,REGIÓN DE LOS RÍOS,LOS RÍOS REGION,RÉGION DES FLEUVES
CL-18,CL,REGIÓN DE ÑUBLE,ÑUBLE REGION,ÑUBLE
CM-04,CM,REGIÓN DEL ESTE,EAST PROVINCE,PROVINCE DE L'EST
CM-05,CM,REGIÓN DEL LITORAL,LITTORAL,PROVINCE DU LITTORAL
CM-07,CM,NORTH-WEST,NORTH-WEST PROVINCE,PROVINCE DU NORD-OUEST
CM-08,CM,REGIÓN DEL OESTE,WEST REGION,PROVINCE DE L'OUEST
CM-09,CM,SOUTH-WEST,SOUTH-WEST PROVINCE,PROVINCE DU SUD-OUEST
CM-10,CM,REGIÓN ADAMAWA,ADAMAOUA,PROVINCE DE L'ADAMAOUA
CM-11,CM,REGIÓN DEL CENTRO,CENTRE,PROVINCE DU CENTRE
CM-12,CM,REGIÓN DEL EXTREMO NORTE,FAR NORTH REGION,PROVINCE DE L'EXTRÊME-NORD
CM-13,CM,REGIÓN DEL NORTE,NORTH PROVINCE,PROVINCE DU NORD
CM-14,CM,REGIÓN DEL SUR,SOUTH PROVINCE,PROVINCE DU SUD
CN-01,CN,ANHUI,ANHUI,PROVINCE D'ANHUI
CN-02,CN,ZHEJIANG,ZHEJIANG,PROVINCE DE ZHEJIANG
CN-03,CN,JIANGXI,JIANGXI,PROVINCE DE JIANGXI
CN-04,CN,JIANGSU,JIANGSU PROVINCE,PROVINCE DE JIANGSU
CN-05,CN,JILIN,JILIN PROVINCE,PROVINCE DE JILIN
CN-06,CN,QINGHAI,QINGHAI,PROVINCE DE QINGHAI
CN-07,CN,FUJIAN,FUJIAN,PROVINCE DE FUJIAN
CN-08,CN,HEILONGJIANG,HEILONGJIANG PROVINCE,PROVINCE DE HEILONGJIANG
CN-09,CN,HENAN,HONAN,PROVINCE DE HENAN
CN-10,CN,HEBEI,HEBEI,PROVINCE DE HEBEI
CN-11,CN,HUNAN,HUNAN PROVINCE,PROVINCE DE HUNAN
CN-12,CN,HUBEI,HUBEI,PROVINCE DE HUBEI
CN-13,CN,SINKIANG,XINJIANG UYGHUR AUTONOMOUS REGION,RÉGION AUTONOME OUÏGHOURE DU XINJIANG
CN-14,CN,REGIÓN AUTÓNOMA DEL TÍBET,TIBET AUTONOMOUS REGION,RÉGION AUTONOME DU TIBET
CN-15,CN,GANSU,GANSU,PROVINCE DE GANSU
CN-16,CN,GUANGXI,GUANGXI ZHUANG AUTONOMOUS REGION,RÉGION AUTONOME ZHUANG DU GUANGXI
CN-18,CN,GUIZHOU,GUIZHOU,PROVINCE DE GUIZHOU
CN-19,CN,LIAONING,LIAONING PROVINCE,PROVINCE DE LIAONING
CN-20,CN,MONGOLIA INTERIOR,INNER MONGOLIA,RÉGION AUTONOME DE MONGOLIE-INTÉRIEURE
CN-21,CN,NINGXIA,NINGXIA HUI AUTONOMOUS REGION,RÉGION AUTONOME DE NINGXIA
CN-22,CN,BEIJING,BEIJING MUNICIPALITY,MUNICIPALITÉ DE PÉKIN
CN-23,CN,SHANGHAI,SHANGHAI,MUNICIPALITÉ DE SHANGHAI
CN-24,CN,SHANXI,SHANSI,PROVINCE DE SHANXI
CN-25,CN,SHANDONG,SHANDONG,PROVINCE DE SHANDONG
CN-26,CN,SHAANXI,SHAANXI,PROVINCE DE SHAANXI
CN-28,CN,TIANJIN,TIANJIN MUNICIPALITY,MUNICIPALITÉ DE TIANJIN
CN-29,CN,YUNNAN,YUNNAN PROVINCE,PROVINCE DE YUNNAN
CN-30,CN,GUANGDONG,KWANGTUNG,PROVINCE DE GUANGDONG
CN-31,CN,HAINAN,HAINAN PROVINCE,PROVINCE DE HAINAN
CN-32,CN,SICHUAN,SICHUAN,PROVINCE DE SICHUAN
CN-33,CN,CHONGQING,CHONGQING MUNICIPALITY,MUNICIPALITÉ DE CHONGQING
CO-01,CO,AMAZONAS,AMAZONAS DEPARTMENT,AMAZONAS
CO-02,CO,ANTIOQUIA,ANTIOQUIA,ANTIOQUIA
CO-03,CO,ARAUCA,ARAUCA DEPARTMENT,ARAUCA
CO-04,CO,ATLÁNTICO,ATLÁNTICO,ATLÁNTICO
CO-08,CO,CAQUETÁ,CAQUETÁ,CAQUETÁ
CO-09,CO,CAUCA,CAUCA DEPARTMENT,CAUCA
CO-10,CO,CESAR,CESAR DEPARTMENT,CESAR
CO-11,CO,CHOCÓ,CHOCÓ,CHOCÓ
CO-12,CO,CÓRDOBA,CÓRDOBA,CÓRDOBA
CO-14,CO,GUAVIARE,GUAVIARE DEPARTMENT,GUAVIARE
CO-15,CO,GUAINÍA,GUAINÍA DEPARTMENT,GUAINÍA
CO-16,CO,HUILA,HUILA DEPARTMENT,HUILA
CO-17,CO,LA GUAJIRA,LA GUAJIRA DEPARTMENT,LA GUAJIRA
CO-19,CO,DEPARTAMENTO DEL META,META DEPARTMENT,META
CO-20,CO,NARIÑO,NARIÑO DEPARTMENT,NARIÑO
CO-21,CO,NORTE DE SANTANDER,NORTE DE SANTANDER DEPARTMENT,NORTE DE SANTANDER
CO-22,CO,PUTUMAYO,PUTUMAYO DEPARTMENT,PUTUMAYO
CO-23,CO,DEPARTAMENTO DEL QUINDÍO,QUINDÍO DEPARTMENT,QUINDÍO
CO-24,CO,RISARALDA,RISARALDA DEPARTMENT,RISARALDA
CO-25,CO,SAN ANDRÉS Y PROVIDENCIA,SAN ANDRES Y PROVIDENCIA,SAN ANDRES Y PROVIDENCIA
CO-26,CO,SANTANDER,SANTANDER DEPARTMENT,SANTANDER
CO-27,CO,SUCRE,SUCRE DEPARTMENT,SUCRE
CO-28,CO,TOLIMA,TOLIMA DEPARTMENT,TOLIMA
CO-29,CO,VALLE DEL CAUCA,VALLE DEL CAUCA DEPARTMENT,VALLE DEL CAUCA
CO-30,CO,VAUPÉS,VAUPÉS,VAUPÉS
CO-31,CO,DEPARTAMENTO DEL VICHADA,VICHADA DEPARTMENT,VICHADA
CO-32,CO,CASANARE,CASANARE DEPARTMENT,CASANARE
CO-33,CO,CUNDINAMARCA,CUNDINAMARCA,CUNDINAMARCA
CO-34,CO,DISTRITO CAPITAL,BOGOTA D.C.,BOGOTA D.C.
CO-35,CO,BOLÍVAR,BOLÍVAR,BOLÍVAR
CO-36,CO,BOYACÁ,BOYACÁ,BOYACÁ
CO-37,CO,CALDAS,CALDAS DEPARTMENT,CALDAS
CO-38,CO,MAGDALENA,MAGDALENA DEPARTMENT,MAGDALENA
CR-01,CR,PROVINCIA DE ALAJUELA,ALAJUELA PROVINCE,ALAJUELA
CR-02,CR,PROVINCIA DE CARTAGO,CARTAGO PROVINCE,CARTAGO
CR-03,CR,PROVINCIA DE GUANACASTE,GUANACASTE PROVINCE,GUANACASTE
CR-04,CR,PROVINCIA DE HEREDIA,HEREDIA PROVINCE,HEREDIA
CR-06,CR,PROVINCIA DE LIMÓN,LIMÓN PROVINCE,LIMÓN
CR-07,CR,PROVINCIA DE PUNTARENAS,PUNTARENAS PROVINCE,PUNTARENAS
CR-08,CR,SAN JOSÉ,SAN JOSÉ,SAN JOSÉ
CU-01,CU,PINAR DEL RÍO,PINAR DEL RÍO,PINAR DEL RÍO
CU-02,CU,PROVINCIA DE LA HABANA,HAVANA,HAVANA
CU-03,CU,PROVINCIA DE MATANZAS,MATANZAS PROVINCE,MATANZAS
CU-04,CU,ISLA DE LA JUVENTUD,ISLA DE LA JUVENTUD,ISLA DE LA JUVENTUD
CU-05,CU,CAMAGÜEY,CAMAGÜEY,CAMAGÜEY
CU-07,CU,PROVINCIA DE CIEGO DE ÁVILA,CIEGO DE ÁVILA PROVINCE,CIEGO DE ÁVILA
CU-08,CU,PROVINCIA DE CIENFUEGOS,CIENFUEGOS PROVINCE,CIENFUEGOS
CU-09,CU,PROVINCIA DE GRANMA,GRANMA PROVINCE,GRANMA
CU-10,CU,PROVINCIA DE GUANTÁNAMO,GUANTÁNAMO PROVINCE,GUANTÁNAMO
CU-12,CU,PROVINCIA DE HOLGUÍN,HOLGUÍN PROVINCE,HOLGUÍN
CU-13,CU,PROVINCIA DE LAS TUNAS,LAS TUNAS PROVINCE,LAS TUNAS
CU-14,CU,PROVINCIA DE SANCTI SPÍRITUS,SANCTI SPÍRITUS PROVINCE,SANCTI SPÍRITUS
CU-15,CU,PROVINCIA DE SANTIAGO DE CUBA,SANTIAGO DE CUBA PROVINCE,SANTIAGO DE CUBA
CU-16,CU,PROVINCIA DE VILLA CLARA,VILLA CLARA PROVINCE,VILLA CLARA
CU-AR,CU,PROVINCIA DE ARTEMISA,ARTEMISA PROVINCE,ARTEMISA
CU-MA,CU,PROVINCIA DE MAYABEQUE,MAYABEQUE,MAYABEQUE
CZ-52,CZ,PRAGA,PRAGUE,PRAGUE VILLE-CAPITALE
CZ-78,CZ,REGIÓN DE MORAVIA MERIDIONAL,SOUTH MORAVIAN REGION,MORAVIE-DU-SUD
CZ-79,CZ,REGIÓN DE BOHEMIA MERIDIONAL,JIHOČESKÝ KRAJ,BOHÊME-DU-SUD
CZ-80,CZ,VYSOČINA,VYSOČINA,VYSOČINA
CZ-81,CZ,KARLOVARSKÝ KRAJ,KARLOVARSKÝ KRAJ,KARLOVARSKÝ KRAJ
CZ-82,CZ,KRÁLOVÉHRADECKÝ KRAJ,KRÁLOVÉHRADECKÝ KRAJ,KRÁLOVÉHRADECKÝ KRAJ
CZ-83,CZ,LIBERECKÝ KRAJ,LIBERECKÝ KRAJ,LIBERECKÝ KRAJ
CZ-84,CZ,OLOMOUCKÝ,OLOMOUCKÝ,OLOMOUCKÝ
