Codigo,PaisCodigo,DescripcionES,DescripcionEN,DescripcionFR
UY-02,UY,DEPARTAMENTO DE CANELONES,CANELONES DEPARTMENT,CANELONES
UY-03,UY,CERRO LARGO,CERRO LARGO DEPARTMENT,CERRO LARGO
UY-04,UY,DEPARTAMENTO DE COLONIA,COLONIA DEPARTMENT,COLONIA
UY-05,UY,DEPARTAMENTO DE DURAZNO,DURAZNO DEPARTMENT,DURAZNO
UY-06,UY,FLORES DEPARTMENT,FLORES DEPARTMENT,FLORES DEPARTMENT
UY-07,UY,DEPARTAMENTO DE FLORIDA,FLORIDA DEPARTMENT,FLORIDA
UY-08,UY,DEPARTAMENTO DE LAVALLEJA,LAVALLEJA DEPARTMENT,LAVALLEJA
UY-09,UY,DEPARTAMENTO DE MALDONADO,MALDONADO DEPARTMENT,MALDONADO
UY-10,UY,DEPARTAMENTO DE MONTEVIDEO,MONTEVIDEO DEPARTMENT,MONTEVIDEO
UY-11,UY,DEPARTAMENTO DE PAYSANDÚ,PAYSANDÚ DEPARTMENT,PAYSANDÚ
UY-12,UY,DEPARTAMENTO DE RÍO NEGRO,RÍO NEGRO DEPARTMENT,RÍO NEGRO
UY-13,UY,DEPARTAMENTO DE RIVERA,RIVERA DEPARTMENT,RIVERA
UY-14,UY,DEPARTAMENTO DE ROCHA,ROCHA DEPARTMENT,ROCHA
UY-15,UY,DEPARTAMENTO DE SALTO,SALTO DEPARTMENT,SALTO
UY-16,UY,DEPARTAMENTO DE SAN JOSÉ,SAN JOSÉ DEPARTMENT,SAN JOSÉ
UY-17,UY,DEPARTAMENTO DE SORIANO,SORIANO DEPARTMENT,SORIANO
UY-18,UY,DEPARTAMENTO DE TACUAREMBÓ,TACUAREMBÓ DEPARTMENT,TACUAREMBÓ
UY-19,UY,DEPARTAMENTO DE TREINTA Y TRES,TREINTA Y TRES DEPARTMENT,TREINTA Y TRES
VC-01,VC,CARLOTA,CHARLOTTE PARISH,CHARLOTTE
VC-02,VC,SAN ANDRÉS,SAINT ANDREW PARISH,SAINT-ANDREW
VC-03,VC,SAN DAVID,SAINT DAVID PARISH,SAINT-DAVID
VC-04,VC,SAN JORGE,SAINT GEORGE PARISH,SAINT-GEORGE
VC-05,VC,SAN PATRICIO,SAINT PATRICK PARISH,SAINT-PATRICK
VC-06,VC,GRANADINAS,GRENADINES PARISH,GRENADINES
VE-01,VE,AMAZONAS,AMAZONAS,AMAZONAS
VE-02,VE,ESTADO ANZOÁTEGUI,ANZOÁTEGUI,ANZOÁTEGUI
VE-03,VE,ESTADO APURE,APURE,APURE
VE-04,VE,ESTADO ARAGUA,ARAGUA,ARAGUA
VE-05,VE,ESTADO BARINAS,BARINAS,BARINAS
VE-06,VE,GUAYANA,BOLÍVAR,BOLÍVAR
VE-07,VE,ESTADO CARABOBO,CARABOBO,CARABOBO
VE-08,VE,ESTADO COJEDES,COJEDES,COJEDES
VE-09,VE,TERRITORIO DELTA AMACURO,DELTA AMACURO,DELTA DE L'ORÉNOQUE
VE-11,VE,CORO,FALCÓN,FALCÓN
VE-12,VE,ESTADO GUÁRICO,GUÁRICO,GUÁRICO
VE-13,VE,BARQUISIMETO,LARA,LARA
VE-14,VE,ESTADO MÉRIDA,MÉRIDA,MÉRIDA
VE-15,VE,ESTADO MIRANDA,MIRANDA,MIRANDA
VE-16,VE,ESTADO MATURÍN,MONAGAS,MONAGAS
VE-17,VE,ESTADO NUEVA ESPARTA,NUEVA ESPARTA,NUEVA ESPARTA
VE-18,VE,PORTUGUESA,PORTUGUESA,PORTUGUESA
VE-19,VE,CUMANÁ,STATE OF SUCRE,SUCRE
VE-20,VE,TÁCHIRA,TÁCHIRA,TÁCHIRA
VE-21,VE,ESTADO TRUJILLO,ESTADO TRUJILLO,TRUJILLO
VE-22,VE,YARACUY,YARACUY,YARACUY
VE-23,VE,ZULIA,ZULIA,ZULIA
VE-24,VE,DEPENDENCIAS FEDERALES,DEPENDENCIAS FEDERALES,DEPENDENCIAS FEDERALES
VE-25,VE,DISTRITO CAPITAL,FEDERAL DISTRICT,DISTRICT CAPITALE DE CARACAS
VE-26,VE,ESTADO VARGAS,VARGAS,VARGAS
VN-01,VN,HANOI,HANOI,HANOI
VN-04,VN,CAO BẰNG,CAO BẰNG PROVINCE,CAO BẰNG
VN-08,VN,TUYEN QUANG,TUYEN QUANG,TUYEN QUANG
VN-11,VN,ĐIỆN BIÊN PROVINCE,ĐIỆN BIÊN PROVINCE,ĐIỆN BIÊN PROVINCE
VN-12,VN,LAI CHÂU,LAI CHÂU PROVINCE,LAI CHÂU
VN-14,VN,SƠN LA,SƠN LA PROVINCE,SƠN LA
VN-15,VN,LAO CAI,LAO CAI,LAO CAI
VN-19,VN,THAI NGUYEN,THAI NGUYEN,THAI NGUYEN
VN-20,VN,LẠNG SƠN,LẠNG SƠN PROVINCE,LẠNG SƠN
VN-22,VN,QUẢNG NINH,QUẢNG NINH,QUẢNG NINH
VN-24,VN,BAC NINH,BAC NINH,BAC NINH
VN-25,VN,PHU THO,PHU THO,PHU THO
VN-31,VN,HAI PHONG,HAI PHONG,HAI PHONG
VN-33,VN,HƯNG YÊN PROVINCE,HƯNG YÊN PROVINCE,HƯNG YÊN PROVINCE
VN-37,VN,NINH BINH,NINH BINH,NINH BINH
VN-38,VN,THANH HÓA,THANH HÓA PROVINCE,THANH HÓA
VN-40,VN,NGHỆ AN PROVINCE,NGHỆ AN PROVINCE,NGHỆ AN PROVINCE
VN-42,VN,HÀ TĨNH,HÀ TĨNH PROVINCE,HÀ TĨNH
VN-44,VN,QUANG TRI,QUANG TRI,QUANG TRI
VN-46,VN,THỪA THIÊN HUẾ PROVINCE,THỪA THIÊN HUẾ PROVINCE,THỪA THIÊN HUẾ PROVINCE
VN-48,VN,DA NANG CITY,DA NANG CITY,DA NANG CITY
VN-51,VN,QUANG NGAI,QUANG NGAI,QUANG NGAI
VN-52,VN,GIA LAI,GIA LAI,GIA LAI
VN-56,VN,KHANH HOA,KHANH HOA,KHANH HOA
VN-66,VN,DAK LAK,DAK LAK,DAK LAK
VN-68,VN,LAM DONG,LAM DONG,LAM DONG
VN-75,VN,DONG NAI,DONG NAI,DONG NAI
VN-79,VN,HO CHI MINH CITY (HCMC),HO CHI MINH CITY (HCMC),HO CHI MINH CITY (HCMC)
VN-80,VN,TAY NINH,TAY NINH,TAY NINH
VN-82,VN,DONG THAP,DONG THAP,DONG THAP
VN-86,VN,VINH LONG,VINH LONG,VINH LONG
VN-91,VN,AN GIANG,AN GIANG,AN GIANG
VN-92,VN,CAN THO CITY,CAN THO CITY,CAN THO CITY
VN-96,VN,CA MAU,CA MAU,CA MAU
VU-07,VU,TORBA,TORBA PROVINCE,TORBA
VU-13,VU,SANMA,SANMA,SANMA
VU-15,VU,TAFEA,TAFEA,TAFEA
VU-16,VU,MALAMPA,MALAMPA,MALAMPA
VU-17,VU,PENAMA,PENAMA,PÉNAMA
VU-18,VU,SHEFA,SHEFA,SHEFA
WS-01,WS,A'ANA,A'ANA,A'ANA
WS-02,WS,AIGA-I-LE-TAI,AIGA-I-LE-TAI,AIGA-I-LE-TAI
WS-03,WS,ATUA,ATUA,ATUA
WS-04,WS,FA'ASALELEAGA,FA'ASALELEAGA,FA'ASALELEAGA
WS-05,WS,GAGA'EMAUGA,GAGA'EMAUGA,GAGA'EMAUGA
WS-06,WS,VA'A-O-FONOTI,VA'A-O-FONOTI,VA'A-O-FONOTI
WS-07,WS,GAGA'IFOMAUGA,GAGA'IFOMAUGA,GAGA'IFOMAUGA
WS-08,WS,PALAULI,PALAULI,PALAULI
WS-09,WS,SATUPA'ITEA,SATUPA'ITEA,SATUPA'ITEA
WS-10,WS,TUAMASAGA,TUAMASAGA,TUAMASAGA
WS-11,WS,VAISIGANO,VAISIGANO,VAISIGANO
ZA-02,ZA,KWAZULU-NATAL,KWAZULU-NATAL,KWAZULU-NATAL
ZA-03,ZA,PROVINCIA DEL ESTADO LIBRE,ORANGE FREE STATE,ÉTAT LIBRE
ZA-05,ZA,PROVINCIA ORIENTAL DEL CABO,EASTERN CAPE,CAP-ORIENTAL
ZA-06,ZA,GAUTENG,GAUTENG,GAUTENG
ZA-07,ZA,MPUMALANGA,MPUMALANGA,MPUMALANGA
ZA-08,ZA,PROVINCIA SEPTENTRIONAL DEL CABO,NORTHERN CAPE,CAP-NORD
ZA-09,ZA,PROVINCIA DE LIMPOPO,LIMPOPO,LIMPOPO PROVINCE
ZA-10,ZA,PROVINCIA DEL NOROESTE,NORTH WEST,PROVINCE DU NORD-OUEST
ZA-11,ZA,PROVINCIA OCCIDENTAL DEL CABO,WESTERN CAPE,CAP-OCCIDENTAL
ZM-01,ZM,PROVINCIA DEL OESTE,WESTERN PROVINCE,PROVINCE OCCIDENTALE
ZM-02,ZM,PROVINCIA CENTRAL,CENTRAL PROVINCE,PROVINCE CENTRALE
ZM-03,ZM,PROVINCIA DEL ESTE,EASTERN PROVINCE,PROVINCE ORIENTALE
ZM-04,ZM,PROVINCIA DE LUAPULA,LUAPULA PROVINCE,LUAPULA
ZM-05,ZM,PROVINCIA DEL NORTE,NORTHERN PROVINCE,PROVINCE SEPTENTRIONALE
ZM-06,ZM,NORTH-WESTERN,NORTH-WESTERN,NORTH-WESTERN
ZM-07,ZM,PROVINCIA DEL SUR,SOUTHERN PROVINCE,PROVINCE MÉRIDIONALE
ZM-08,ZM,PROVINCIA DE COPPERBELT,COPPERBELT,COPPERBELT
ZM-09,ZM,PROVINCIA DE LUSAKA,LUSAKA PROVINCE,LUSAKA
ZM-10,ZM,PROVINCIA DE MUCHINGA,MUCHINGA,MUCHINGA
ZW-01,ZW,MANICALANDIA,MANICALAND,MANICALAND
ZW-02,ZW,MIDLANDS,MIDLANDS PROVINCE,MIDLANDS
ZW-03,ZW,MASHONALANDIA CENTRAL,MASHONALAND CENTRAL,MASHONALAND CENTRAL
ZW-04,ZW,MASHONALANDIA ORIENTAL,MASHONALAND EAST PROVINCE,MASHONALAND ORIENTAL
ZW-05,ZW,MASHONALANDIA OCCIDENTAL,MASHONALAND WEST,MASHONALAND OCCIDENTAL
ZW-06,ZW,MATABELELANDIA SEPTENTRIONAL,MATABELELAND NORTH,MATABELELAND SEPTENTRIONAL
ZW-07,ZW,MATABELELANDIA MERIDIONAL,MATABELELAND SOUTH PROVINCE,MATABELELAND MÉRIDIONAL
ZW-08,ZW,PROVINCIA DE MASVINGO,MASVINGO PROVINCE,MASVINGO
ZW-09,ZW,BULAWAYO,BULAWAYO,BULAWAYO
ZW-10,ZW,HARARE,HARARE PROVINCE,HARARE
